English,Tulu
"At that time, the child",ಆತ್ ಪೊರ್ತುಗು ಬಾಲೆ
"Relatives, the information that we call baliyendra on social media keeps coming in groups of three to four every day.",ಬಂಧುಲೇ ಸಾಮಾಜಿಕ ಜಾಲತಾಣಲೆಡು ನಮ ಬಲಿಯೆಂದ್ರ ಲೆಪ್ಪುದ ಬರವುಲು ದಿನೊಕ್ಕ್ ಮೂಜಿ ನಾಲ್ ಗ್ರೂಪುಲೆಡ್ ಬರೊಂದೇ ಇಪ್ಪುಂಡು
Something about how hard his mother was living.,ತನ್ನ ಅಪ್ಪೆ ಏತ್ ಬಙೊಡು ಜಿವನ ಕರಿತೊಂದುಲ್ಲಲೋ ದಾನ್ನೋ
He did so in regard to the measures,ಕ್ರಿಮೊಕ್ಕುಲ್ನ ಬಗ್ಗೆ ಅಂಚ ಮಲ್ತೊಂದಿತ್ತೆರ್ ಇಂಚ ಮಲ್ತೊಂದಿತ್ತೆರ್
The original rituals standing on the panchagah were not damaged to the point,ಪಂಚಾಗೊದ ಮೇಲ್ಡ್ ಉಂತಿನ ಮೂಲ ಆಚರಣೆಲೆಗ್ ಪನ್ಪಿನಂಚಿನ ಪೆಟ್ಟ್ ಬೂರ್ದಿಜಿ
The sixth is wearing a dirty dress,ಆರವೆ ಕುರೆಯಾತಿನ ಕುಂಟು ಪಾಡ್ದೆ
The revised advertisement will come into effect from today.,ಈ ಪರಿಷ್ಕೃತ ಜಾಹೀರಾತು ಇನಿರ್ದ್ ಜಾರಿಗ್ ಬರ್ರೆ ಉಂಡು.
Go to every house at night.,ಕರಂಗೋಲು ತಂಡೊದ ಯಜಮಾನೆ
The appetite of the stomach was improved by sundas.,ಬಂಜಿದ ಬಡವುನ್ ಪೊರ್ಲುಡೆ ಸುದಾರ್ತೊಂದು ಬತ್ತೆರ್
Children grind baje pinari and laugh,ಅಯಿಟ್ ಈ ರಸನ್ ಬೆಚ್ಚ ಮಲ್ಪೊಡ್ ಉಂದು ಕೊಡಿ ಮರ್ದು
The mother took out the lid of the envelope and gave it to the bearer.,ಪೊದಿಕೆದ ಪಾಲೆ ದೆತ್ತೆರ್ ಅಪ್ಪೆರ್ ಬೀರಕ್ಕೆ ಬೈದುಲು
Wanting to publish,ಪ್ರಕಾಶೆ  ಬಯಕೊಂದುಲ್ಲೆ
The king is watching.,ರಾಜೆ ತೂವೊಂದುಲ್ಲೆ
Amar borrows money,ಅಮರೆ ಕಾಸ್‍ನ್ ಕಡ ದೆತೊನುವೆ
Shiva loves,ಶಿವೆ ಮೋಕೆ-ಮಲ್ಪುವೆ
The humble one misbehaves,ವಿನೀತೆ ಚೇಷ್ಟೆ-ಮಲ್ಪುವೆ
"Karnataka has been administered the 94,47,900 dose.","ಕರ್ನಾಟಕಗ್ 94,47,900 ಡೋಸ್‌ ಕೊರ್ತೆರ್."
Kaushik forgets the way,ಕೌಶಿಕೆ ಸಾದಿನ್ ಮದತ್‍ದೆ
Only a few wage labourers are walking for the construction activity.,ಕೆಲವು ಕೂಲಿ ಕಾರ್ಮಿಕೆರ್ ಮಾತ್ರ ನಿರ್ಮಾಣ ಚಟುವಟಿಕೆಗಾದ್ ನಡತೊಂದು ಪೋವೊಂದು ಉಲ್ಲೆರ್.
The villages used to catch fish that used to climb up in the early monsoons,ಹಳ್ಳಿಲೆಡ್ ಮರಿಯಲದ ಸುರುಟ್ಟು ಉಬರ್ ಮಿತರುನ ಮೀನ್ಲೆನ್ ಪತೊಂದಿದಿತ್ತೆರ್
"And with one leg, the idol of Baahubali is seen being carved day and night.",ಬೊಕ್ಕ ಒಂಜಿ ಕಾರ್ಡ್ ಗೊಮ್ಮಟನ ಪಾಪೆನ್ ಇರ್ಲ್ ಪಗೆಲ್ ಕೆತ್ತುನ ತೆರಿಯುಂಡು
Aditeya is the leader,ಅದಿತೇಯೆ ಸಾರಥಿಯಾತೆ
"We are taking appropriate action when people violate the guidelines, ""he said.",ಜನಕುಲು ಮಾರ್ಗಸೂಚಿ ಉಲ್ಲಂಘನೆ ಮಲ್ತಿನಪಗ ನಮ ಸೂಕ್ತ ಕ್ರಮ ದೆತೊನೊಂದು ಉಲ್ಲ ಪಂದ್ ಪಂಡೆರ್.
"If not, they'll write it down as well.",ತೊಟ್ಟೀಲ್ಡ್ ಸೂರ್ಯ ಚಂದ್ರ
jagdish rings the bell,ಜಗದೀಶೆ ಘಂಟೆ ಬೊಟ್ಟುವೆ
Advika is the charioteer,ಅದ್ವಿಕೆ ಸಾರಥಿಯಾತೆ
As his beloved brother Chidra wakes up in a pool of gushing blood.,ತನ್ನ ಮೋಕೆದ ಪಲಯನ ಸರ್ರೊ ಪೊಡಿಯಾದ್ ನೆತ್ತೆರ ಓಕುಲಿಡ್ ಒದ್ದಾಡುಲೆಕ
Ravish is on the run,ರವೀಶೆ ತಪ್ಪಾವೊಂದುಲ್ಲೆ
"But it's not a play, there's an act.",ಆಂಡ ಅವು ನಾಟಕ ಅತ್ತ್ ಅಲ್ಪ ಅಭಿನಯ ಉಂಡು
ajay pronounces,ಅಜಯೆ ಉಚ್ಚಾರ-ಮಲ್ಪುವೆ
"However, it is a matter of happiness that all the measures have not disappeared.",ಅಂಡಲಾ ಪೂರ ಕ್ರಮೊಲಾ ಮಜಂದೆ ಒರಿದುನ ಸಂತೋಷದ ಇಚಾರ
Bamboo is spoken in Kannada,ಕನ್ನಡಡ್ ಬಿದಿರು ಪನ್ಪೆರ್
Neelkanth drives,ನೀಲಕಂಠೆ  ಬುಡ್ಪೆ
"Admitted to Puttur City Hospital, Pujitha gave birth to twins on Sunday morning.",ಪುತ್ತೂರುದ ಸಿಟಿ ಆಸ್ಪತ್ರೆಗ್ ದಾಖಲಾಯಿನ ಪೂಜಿತಾ ಮೇರ್ ಐತಾರ ಕಾಂಡೆ ಅಮರ್ ಜೋಕ್ಲೆಗ್ ಜೀವ ಕೊರ್ತೆರ್
Grandma's work didn't work out that way.,ಅಜ್ಜಿನ ಬೊಜ್ಜ ಅಂಚ ಬತ್ತಿಜಿ
The tulsi leaf capula flower is placed in the middle of the Omkara.,ತುಳಸಿ ಇರೆ ಕೇಪುಲ ಪುರ್ಪನ್ ಓಂಕಾರೊದ ನಡುಕ್ ದೀಪೆರ್
Sivananda is a devotee of Vishnu.,ಶಿವಾನಂದೆ ವಿಷ್ಣುನ ಭಕ್ತೆಯಾತೆ
The gods and goddesses,ಇಂಚಿರ್ದ್ ದೈವೊಲುಲ ಮಾಯದ
Vipin takes,ವಿಪಿನೆ  ದೆತೊನುವೆ
Akshaya gets,ಅಕ್ಷಯೆ ಪಡೆಪೆ
Abhinav is protesting their words,ಅಭಿನವನು ಅಕ್ಲೆನ ಪಾತೆರೊನು ಪ್ರತಿಭಟಿಸವೊಂದುಲ್ಲೆ
He used to tie a knot called jnana in the book of his head after listening to it.,ಪಂಡಿನೆನ್ ಕೇಂದು ತನ್ನ ಮಸ್ತಕದ ಪುಸ್ತಕಡ್ ಸರವುದ ಗಂಟ್ ಕಟ್ಟುದ್ ದೀವೊಂದಿತ್ತೆರ್
He assembles the tools he needs,ತನ್ನ ಕಜ್ಜೊಗು ಬೋಡಾಯಿನ ಅತ್ಯಾರ್ಲೆನ್ ಒಟ್ಟು ಮಲ್ತೊನುವೆ
"A coconut is broken on the head and under the leg, dried and lit with oil.",ತರೆತ್ತ ಮಿತ್ತ್ ಕಾರ ತೀರ್ತ್ ಒಂಜಿ ತಾರಯಿ ದರ್ತುದ್ ಅಯಿಕ್ ಬತ್ತಿ ಪೊತ್ತದ್ ಎಣ್ಣೆ ಮೈತುದ್ ಪೊತ್ತದ್ ದೀಪೆರ್
Prahla ̄ da is holding,ಪ್ರಹ್ಲಾದೆ ಪತೊಂದೆನೆ
Grandmothers and grandfathers used to come out at night to drink water.,ಅಜ್ಜಿ ಅಜ್ಜೆರ್ನಕುಲು ರಾತ್ರೆಡ್ ಮೈನೀರ್ ಮೈಪೆರೆ ಪಿದಯಿ ಪೋದು ಬತ್ದ್ ಪನೊಂದಿತ್ತೆರ್
Nanjund is a good boy.,ನಂಜುಡೆ ಎಡ್ಡೆ ಆಣ್
The sky does the work in a brisk way,ಆಕಾಶೆ ಚುರುಕುಡು ಬೇಲೆ ಮಲ್ಪುವೆ
Then when bathing the baby,ನೆಕ್ಕ್ ದೃಷ್ಟಿ ದೆಪ್ಪುನ್ ಪನ್ಪೆರ್
The atmosphere of the Gurukul is new for the boy,ಬಾಲೆಗ್ ಗುರುಕುಲೊದ ಬೂಡ್ ಪೊಸತ್
"At the sound of it, the sleeping tiger got up and began to scream.",ಅಯಿತ್ತ ಅರಬಾಯಿಗ್ ಜೆತ್ತ್ ಇತ್ತಿನ ಪಿಲಿ ಲಕ್ದ್ ಕೊರೆಪೆರೆ ಸುರು ಮಲ್ತ್ಂಡ್
She was born as a pig in the same town.,ಆಳ್ ಉಂದೆ ಊರ್ ಡ್ ಪಂಜಿಯಾದ್ ಪುಟ್ಟುದೊಲು
"In any case, it makes a lot of sense and can be written to tell us.",ಆತಿನ ಇಸಯೊಡ್ಡುಲಾ ನೆಕ್ಕ್ ದಿಂಜ ಅರ್ಥ ಕೊರುದು ನಮಕು ಪಣೆರ ಬರೆವೆರ ಸಾಧ್ಯ
"But the children are not ready to take out the jackfruit chilka, that is, the bag held by the jackfruit",ಆಂಡ ಬೋಳೆದ ಚಿಲ್ಕ ಪನ್ನುಣ್ಡ ಪೆಲತ್ತರಿಗು ಪತ್ತಿದಿನ ಚೀಲ ದೆಪ್ಪರೆ ಕಳೆವೆರ ಜೋಕುಲು ತಯಾರಿಜ್ಜೆರು
"Jayakar Shetty, president of the Kundapur-based Red Cross, said that there is a report on some social media that the Indian Red Cross Institute in Kundapur is short of blood as the central government-mandated Covid vaccination of people above 18 years of age does not allow blood donation until 28 days after vaccination.",ಕೇಂದ್ರ ಸರ್ಕಾರದ ಆದೇಶದ 18 ವರ್ಷ ಮಿತ್ತ್ ದಕ್ಲೆಗ್ ಕೋವಿಡ್ ಲಸಿಕೆ ಪಾಡುನೆರ್ದಾವರ ಲಸಿಕೆ ಪಡೆಯಿನ 28 ದಿನ ಮುಟ ನೆತ್ತೆರ್ ದಾನ ಮಲ್ಪರೆ ಅವಕಾಶ ಇಜ್ಜಂದಿನೇರ್ದಾವರ ಕುಂದಾಪುರದ ಭಾರತೀಯ ರೆಡ್‌ಕ್ರಾಸ್ ಸಂಸ್ಥೆಡ್ ನೆತ್ತೆರ್ ಗ್ ಕೊರತೆ ಉಂಡು ಪಂದ್ ಕೆಲವೊಂಜಿ ಸಾಮಾಜಿಕ ಜಾಲತಾಣಡ್ ಬೈದಿನಂಚಿನ ವರದಿನ್ ಕುಂದಾಪುರದ ರೆಡ್‌ಕ್ರಾಸ್ ಸಂಸ್ಥೆದ ಗುರ್ಕಾರ್ಲಾಯಿನ ಜಯಕರ ಶೆಟ್ಟಿ ತೆರಿಪಾಯೆರ್.
He had long wanted to carve an idol of Baahubali.,ತಾನ್ ಗೊಮ್ಮಟನ ಮೂರ್ತಿನ್ ಕೆತ್ತೊಡುಂದು ಅವ್ವೇತೋ ಸಮಯೊಡ್ದು ಬಯಕೆಯನ್ನು ದೀವೊಂದಿತ್ತೆರ್
The roar of my life again,ಯೆನ್ನ ಅವುಸೊದ ದ ಪಟ್ಟ ಬೊಕ್ಕ ಜಪತ್ತ ಮಾಲೆ
Manohar is using a blanket,ಮನೋಹರೆ ಮಂದಿರಿನ್ ಗಳಸೊಂದುಲ್ಲೆ
Today's people smell the smell of silt water on the farm.,ಬೆನ್ನಿದ ಕಂಡ ಕೇದೆಲ್ ಪಣ್ನಗ ಇತ್ತೆದಕ್ಲೆಗ್ ಮೂರಿ ಬರ್ಪುನು
The cat is climbing the tree.,ಪುಚ್ಚೆ ಮರ ಮಿತೆರುಂದುಂಡು5
It is a fact that one thing is hidden in the bond made by the elders.,ಹಿರಿಯಕ್ಲ್ ಮಂತಿನ ಕಟ್ ಡ್ ಒಂಜೊಂಜೆಟ್ ಒಂಜೊಂಜಿ ಇಚಾರ ದೆಂಗ್ ದುಂಡು ಪನ್ಪಿನವು ಸತ್ಯ
Vihaan was very poor,ವಿಹಾನೆ ಮಸ್ತ್ ಬಡವೆಯಾದಿತ್ತೆ
It is then that the meaning of the speaker's or writer's speech becomes self-evident.,ಅಪಗ ಪಣ್ಪಿನಾಯನ ಯಾ ಬರೆಪಿನಾಯನ ಪಾತೆರೊದ ತಾತ್ಪರ್ಯ ತಾನಾದೆ ಮೂಡ್ಡು ಬರ್ಪುನು
Vihaan is eating,ವಿಹಾನೆ  ತಿನ್ನೊಂದುಲ್ಲೆ
Vijay is Parvati's husband.,ವಿಜಯೆ ಪಾರ್ವತಿನ ಕಂಡನೆ
Don't go without a car,ಗಾಡಿ ದಾಂತೆ ಪೋಪೀಲಕ ಇಜ್ಜಿ
Upendra gets married,ಉಪೇಂದ್ರೆ  ಮದಿಮೆಯಾಪೆ
So there is a swinging karangolu holding a stick of neeki and chewing it.,ಕರಂಗೋಲು ನಲಿಪುನಕ್ಲೆ ಕೈಟ್ ಕರಿಯನೆಕ್ಕಿದ ಕೋಲು ಇಪ್ಪುಂಡು
Kartik speaks,ಕಾರ್ತಿಕೆ ಪಾತೆರುವೆ
Tantra has to be suppressed and the deity has to be arrested in a bronze box.,ತಂತ್ರೊಡು ತಣಿಸವೊಡು ಕಂಚಿದ ಕರಡಿಗೆಡ್ ದೈವನ್ ಬಂಧನ ಮಲ್ಪೊಡು
Everyone in the Covid workforce should be actively involved.,ಕೋವಿಡ್ ಕಾರ್ಯ ಪಡೆತ್ತ ಮಾತೆರ್ಲ ನೆಟ್ಟ್ ಸಕ್ರಿಯವಾದ್ ಪಾಲ್ ಪಡೆವೊಡು.
All the people of Karnataka have honoured him by naming a large road in Mangalore and a stretch in Bangalore after him.,ಕುಡಲದ ಒಂಜಿ ಮಲ್ಲಮಾರ್ಗೊಗು ಬೊಕ್ಕ ಬೆಂಗಳೂರುದ ಒಂಜಿ ಬಡಾವಣೆಗ್‌ಲಾ ಆರೆನ ಪುದರ್‌ ದೀದ್‌ಕರ್ನಾಟಕೂದ ಮಾತ ಜನತೆ ಆರೆಗ್‌ ಮಾನಾದಿಗೆ ಕೊರ್ತೆರ್‌
Ashadha's Rao serves gulag outside the house under a coconut tree,ಆಟಿದ ರಾವು ಗುಳಿಗಗ್ ಇಲ್ಲ ಪಿದಯಿ ಕಾಯೆರ್ಀದ ಮರತ ಮುದೆಲ್ಀಡ್ ಬಲಸುವೆರ್
Rahmanuddin Sheikh guided the Tulu Wikipedia to go live - in three ways:,ತುಳು ವಿಕಿಪಪೀಡಿಯ ಲೈವ್ ಮಾಲ್ಪೆರಾಗ್ ರಹಮಾನುದ್ದೀನ್ ಷೇಕ್ ದಿಕ್ಕ್ ದೆಸೆ ತೋಜಯೆರ್ - ಅವು ಮೂಜಿ ರೀತಿಡ್;
Ramanna what is white to white?,ರಾಮಣ್ಣೆ ಕಾಂಡೆ ಕಾಂಡೆ ದಾದ
Ajay is the king of beauty.,ಅಜಯೆ ಪೊರ್ಲುದ ರಾಜೆಯಾತೆ
The eye of the moon as you go,ಪೋನಗ ಚಂದ್ರನ ಕಣ್ಣ್
Anish is writhing in anger,ಅನೀಶೆ ಕೋಪೊಡು ಬೊಬ್ಬೆಪಾಡೊಂದುಲ್ಲೆ
darshan acts in the movie,ದರ್ಶನೆ ಸಿನಿಮೊಡು ನಟನೆ ಮಲ್ಪುವೆ
Siri's eyes water before it stops.,ತೆಕ್ಕೊಡ್ಡ ದುಂಬೆ ಸಿರಿನ ಕಣ್ಣ ನೀರ ಕಟ್ಟೊಡ್ಡ ದುಂಬೆ
The anointing is going on,ಅಭಿಷೇಕೆ ನಡತೊಂದುಲ್ಲೆ
He pulled his leg when the fire was hot.,ಸೂತ ಬೆಚ್ಚ ತಾಗಿಲೆಕನೆ ತನ್ನ ಕಾರುನ್ ವೊಯಿತೆ
The first thing to do on the beach is to give a saree.,ಬಯಕೆದಾನಿ ಸುರುಕಾದ್ ನಡಪುನವ್ವೆ ಮೇಲ್ಸೀರೆ ಕೊರ್ಪಿನ
Jayaraj sings,ಜಯರಾಜೆ  ಪನ್ಪೆ
"There is a Mother's Temple at Balnad, Anantadi Puttur",ಅನಂತಾಡಿ ಪುತ್ತೂರುದ ಬಲ್ನಾಡ್ ಜಾಗೆಡ್ ಅಪ್ಪೆನ ಸಾನ ಉಂಡು
"Consider this proverb of Tulu, which suggests the idea of",ಪಣ್ಪಿನ ಉಪಾಯೊನು ತೆರಿಪಾವುನ ತುಳುವೆರೆನ ಈ ಗಾದೆನು ಒಂತೆ ಇಚಾರ ಮಳ್ಪುಗ
Ananda celebrates,ಆನಂದೆ ಸಂಭ್ರಮೊನು ಆಚರಿಸುವೆ
The visionary reads,ದರ್ಶನೆ  ಓದುವೆ
He was speaking after launching the District COVID 2. 0 Helpline at the District BJP Office in Kadiyali.,ಕಡಿಯಾಳಿಡ್ ಉಪ್ಪುನ ಜಿಲ್ಲಾ ಬಿಜೆಪಿ ಕಚೇರಿಡ್ ಆರ್ ಜಿಲ್ಲಾ ಕೋವಿಡ್-2.0 ಸಹಾಯವಾಣಿಗ್ ಚಾಲನೆ ಕೊರ್ದು ಪಾತೆರಿಯೆರ್
Anuj is annoying,ಅನುಜೆ ಕಿರಿಕಿರಿ ಮಲ್ಪುವೆ
What do they think light is the solution to?,ಬೊಲ್ಬು ದಾದೆಗ್‌ ಪರಿಹಾರಂದ್‌ ಅಕುಲೆನ ಆಲೋಚನೆ?
In the middle of the night,ನಟ್ಟ ನಡಿರ್ದ ಪೊರ್ತು
Aayush is finishing the story,ಆಯುಷೆ ಕಥೆನ್ ಮುಗಿತೊಂದುಲ್ಲೆರ್
The brothers knew that he was a demon and beat him to death.,ಅಣ್ಣನಕುಲು ಆಯೆ ರಕ್ಕಸೆಂದ್‌ ತೆರಿದ್‌ ಆಯನ್‌ ನೋತ್‌ದ್‌ ಕೆರಿಯೆರ್‌
"Usharani is the daughter of Mrs. B. Kotian of Purvanagadi Koppal, Mangalore Taluk and D. Bhaskar R. Kotian of Kapu, Udupi District.",ಉಷಾರಾಣಿ ಮೇರ್ ಕುಡ್ಲ ತಾಲೂಕು ಹಳೆಯಂಗಡಿ ಕೊಪ್ಪಲದ ಶ್ರೀಮತಿ ಬಿ. ಕೋಟ್ಯಾನ್ ಬೊಕ್ಕ ಒಡಿಪು ಜಿಲ್ಲೆ ಕಾಪುದ ದಿ.ಭಾಸ್ಕರ ಆರ್. ಕೋಟ್ಯಾನ್ ದಂಪತಿಲೆನ ಮಗಲ್.
Kiran is watching,ಕಿರಣೆ ತೂವೊಂದುಲ್ಲೆ
Large male and female pigs,ಮಲ್ಲ ಮಲ್ಲ ಅನ್ ಪೊಣ್ಣು ಪಂಜಿಲು
Do you know how that name came about?,ಆ ಪುದರ್‌ ಎಂಚ ಬತ್ತ್‌ಂಡ್‌ಂದ್‌ನಿಕ್ಷೆಗ್‌ ಗೊತ್ತುಂಡಾ?
"After that, the girl's family",ಅಯಿರ್ದ್ ಬೊಕ ಪೊಣ್ಣನ ಇಲ್ಲದಕುಲ್
The people of our past,ನಮ್ಮ ಪಿರಾಕ್ದ ತುಳುವೆರ್
"Once placed, three rounds of breaking are called.",ದೀಡುದ್ ಅಯಿ ಬೊಕ್ಕ ಮೂಜಿ ಸುತ್ತು ಮುರಿಯೊ ಲೆಪ್ಪುವೆರ್
"Out of a total of 209 shareholders, 198 members voted.",ಒಟ್ಟು 209 ಷೇರುದಾರೆರ್ನ ಪೈಕಿ 198 ಸದಸ್ಯೆರ್ ಓಟು ಪಾಡ್ದಿತ್ತೆರ್.
Mangalore is a beautiful city.,ಕುಡ್ಲ ಪೊರ್ಲ್ ದ ಪೇಂಟೆ
"The children turned their hands to the light and asked, ""What did you offer?""",ಜೋಕುಲು ಬೊಲ್ಬುಗು ಕೈಮುಗಿದ್‌ ದಾದ ಕೊರ್‌ಲಾಂದ್‌ ಕೇನೊಂಡೆರ್‌
The people of our past,ನಮ್ಮ ಪಿರಾಕ್ದ ತುಳುವೆರ್
Amar does duty,ಅಮರೆ ಕೆಲಸ ಮಲ್ಪುವೆ
Vihaan is healthy,ವಿಹಾನೆ ಆರೋಗ್ಯವಂತೆಯಾತೆ
Each ritual has a unique way of worshipping Ganesha,ಪ್ರತಿಯೊಂಜಿ ಆಚರಣೆಡ್ ಗಣಪತಿನ್ ಆರಾಧನೆ ಮಲ್ಪುನಶ್ ಇಸೇಸವಾಯಿನ ಒಂಜಿ ಕ್ರಮ ಉಂಡು
"If not, add the rice while it's cooking.",ಇಜ್ದಂಡ ಆ ಅರಿನ್ ನುಪ್ಪು ಬೆಯಿನಗ ಪಾಡ್ದ್
There was a tribe called the Nagars,ಮುಲ್ಪ ನಾಗೆರ್ ಪನ್ಪಿ ಜನಾಂಗ ಇತ್ತ್ಂಡ್
Advaita leaves,ಅದ್ವೆತೆ ಬುಡ್ಪೆ
Vishwanath is bouncing,ವಿಶ್ವನಾಥೆ  ನೂಕೊಂದುಲ್ಲೆ
It was also full of birds and beasts.,ತುಳುನಾಡುಡ್ ಕಾಡ್ ಮರ ಸಸ್ಯ ಸಂಪತ್ತುದ ಕಾಡು ದಿಂಜಿದ್ ಇತ್ತುಂಡು
adish listens to music,ಅಧೀಶೆ ಪದ ಕೇನುವೆ
Stone carvings are not flipped and thrown in front of the god Ishvara.,ಈಶರ ದೇವೆರೆ ಎದುರು ಕಲ್ಲುದ ಕೆತ್ತನೆದ ಬಸವೆ ಮುಕ್ಕುರು ದಕ್ಕಯೆ
It was also full of birds and beasts.,ತುಳುನಾಡುಡ್ ಕಾಡ್ ಮರ ಸಸ್ಯ ಸಂಪತ್ತುದ ಕಾಡು ದಿಂಜಿದ್ ಇತ್ತುಂಡು
It was officially launched on Wednesday.,ಬುಧವಾರ ನೆಕ್ಕ್ ಅಧಿಕೃತ ಚಾಲನೆ ಕೊರಿಯೆರ್ .
But all of us had applied after spending a hundred rupees.,ಆಂಡ ಎಂಕುಲು ಮಾತೆರ್ಲ ನೂದು ನೂದು ರೂಪಾಯಿ ಕರ್ಚಿ ಮಲ್ತ್ ದ್ ಅರ್ಜಿ ಪಾಡ್ದಿತ್ತ.
Vinit went to the forest,ವಿನೀತೆ ಕಾಡ್‍ಗ್ ಪೋಯೆ
It was his father who built the story of this ghost in the name of money.,ಕಾಸ್ಀದಾಸೆಡ್ ತನ್ನ ಅಮ್ಮೆರೇ ಈ ಕುಲೆತ ಕತೆನ್ ಕಟ್ಟುದ್
sudhanva listens to music,ಸುಧನ್ವೆ ಪದ ಕೇನುವೆ
"If my mother goes to Namsoor Bargi in Jog, I will come to Namsoor Bargi in Maya.",ಅಪ್ಪೆರೆ ಜೋಗಡು ಎಣ್ಸೂರ ಬರ್ಕೆರ್ದ್ ಪೊಯೆಂಡ ಮಾಯೊಡು ಎಣ್ಸೂರ ಬರ್ಕೆಗ್ ಬರುವೆ ಪಂಡೆ
Aditya marries Jyoti.,ಆದಿತ್ಯ ಜ್ಯೋತಿನ್ ಮದಿಮೆಯಾಪೆ
Like Pili Kandadi,ಪಿಲಿ ಕಂದೊಡಿ ಇತ್ತಿಲಕ್ಕ
Tuluve Barke is both sweet jackfruit,ತುಳುವೆ ಬರ್ಕೆ ರಡ್ಡುಲಾ ಚೀಪೆದ ಪೆಲಕಾಯಿಳೆ
"If the body is kept in the house of the deceased from the time of death till the time of work, then water is kept in a pot and is called murio at night.",ಸೈತಿನೆರ್ದ್ ಬೊಜ್ಜದಡೆ ಮುಟ್ಟ ಸೈತಿನಯನ ಇಲ್ಲುಡ್ ಪುನ ದೀಡಿನಲ್ಪ ಒಂಜಿ ಮಣೆಟ್ಟ್ ನೀರು ದೀದ್ ರಾತ್ರೆಗ್ ಮುರಿಯೊ ಲೆಪ್ಪೊಡು
"If the seed is good, the field in which it grows should also be good.",ಬೀಜ ಎಡ್ಡೆ ಇತ್ತುಣ್ಡ ದಾನೆ ಅವು ಬುಳೆಪಿ ಕಂಡಲಾ ಸರಿಯುಪ್ಪೊಡು
She was alone as she grew up.,ಆಲ್ ಮಲ್ಲಾವೊಂದು ಬತ್ತಿಲಕನೇ ಆಲ್ ಒರ್ತಿಯೆ
Apply three drops of coconut oil on your scalp.,ತರೆಕ್ ಮೂಜಿ ಸರ್ತಿ ತಾರೆದ ಎಣ್ಣೆ ಮೈತುದ್
Daivasana Mani Kelinja of Bantwal,ದೈವಸಾನಬಂಟ್ವಾಳದ ಮಾಣಿ ಕೆಲಿಂಜ
